Player,Pos.,To Team,Prev. Team,Contract Terms
Darren Dreifort,RHP,Los Angeles Dodgers,Re-signed,"5 years, $55 million"
Ramon Martinez,RHP,Los Angeles Dodgers,Red Sox,"1 year, ($1.5 million)"
Jimmy Haynes,RHP,Milwaukee Brewers,Re-signed,"1 year, $2.2 million"
Jeffrey Hammonds,OF,Milwaukee Brewers,Rockies,"3 years, $21.75 million"
James Mouton,OF,Milwaukee Brewers,Re-signed,"minors* ($300,000)"
Kevin Appier,RHP,New York Mets,Athletics,"4 years, $42 million"
John Franco,LHP,New York Mets,Re-signed,"3 years, $10.5 million"
Matt Franco,INF,New York Mets,Re-signed,"minors* ($462,500)"
Jim Leyritz,1B/OF,New York Mets,Dodgers,"minors* ($500,000)"
Steve Ontiveros,RHP,New York Mets,Red Sox,"minors* ($500,000)"
Rick Reed,RHP,New York Mets,Re-signed,"3 years, $21.75 million"
Steve Trachsel,RHP,New York Mets,Blue Jays,"2 years, $7 million"
Jorge Velandia,INF,New York Mets,Re-signed,minors* (undisclosed)
Turk Wendell,RHP,New York Mets,Re-signed,"3 years, $9.4 million"
Ricky Bottalico,RHP,Philadelphia Phillies,Royals,"1 year, $1.5 million"
Rheal Cormier,LHP,Philadelphia Phillies,Red Sox,"3 years, $8.75 million"
Brian L. Hunter,OF,Philadelphia Phillies,Reds,minors* (undisclosed)
Brian R. Hunter,1B/OF,Philadelphia Phillies,Re-signed,"1 year, $900,000"
Kevin Jordan,INF,Philadelphia Phillies,Re-signed,"1 year, (undisclosed)"
Jose Mesa,RHP,Philadelphia Phillies,Mariners,"2 years, $6.8 million"
Derek Bell,OF,Pittsburgh Pirates,Mets,"2 years, $9.7 million"
Thomas Howard,OF,Pittsburgh Pirates,Cardinals,"minors* ($500,000)"
Terry Mulholland,LHP,Pittsburgh Pirates,Braves,"2 years, $6 million"
Shane Andrews,3B,St. Louis Cardinals,Cubs,"minors* ($750,000)"
Bobby Bonilla,OF,St. Louis Cardinals,Braves,"1 year, $900,000"
Bernard Gilkey,OF,St. Louis Cardinals,Red Sox,"minors* ($700,000)"
John Mabry,OF,St. Louis Cardinals,Padres,"minors* ($800,000)"
Alex Arias,INF,San Diego Padres,Phillies,"2 years, $1.3 million"
Tony Gwynn,OF,San Diego Padres,Re-signed,"1 year, $2 million"
Kevin Jarvis,RHP,San Diego Padres,Rockies,"1 year, (undisclosed)"
Scott Karl,LHP,San Diego Padres,Angels,"1 year, $625,000"
Dave Magadan,INF,San Diego Padres,Re-signed,"1 year, $575,000"
Ruben Rivera,OF,San Diego Padres,Re-signed,"1 year, $1 million"
Ed Sprague,3B,San Diego Padres,Re-signed,"minors* ($575,000)"
Eric Davis,OF,San Francisco Giants,Cardinals,"1 year, $1.5 million"
Shawon Dunston,OF,San Francisco Giants,Cardinals,"1 year, $1 million"
Mark Gardner,RHP,San Francisco Giants,Re-signed,"1 year, $2 million"
